Persona que ayuda;Persona que recibe ayuda;Relación;Formas de ayuda
Juan del Moral y Beristain;María Justa Blázquez;4. Familia;2. Enviar regalos, comestibles, encargos, mercancia o dinero
Domingo del Moral y Beristain;María Justa Blázquez;4. Familia;2. Enviar regalos, comestibles, encargos, mercancia o dinero
Andrés del Moral y Beristain;María Justa Blázquez;4. Familia;2. Enviar regalos, comestibles, encargos, mercancia o dinero
Manuela Castellanos;Juan Antonio Blázquez;5. Contacto de América;2. Enviar regalos, comestibles, encargos, mercancia o dinero
María Beristain;Juan Antonio Blázquez;4. Familia;2. Enviar regalos, comestibles, encargos, mercancia o dinero
José Ruiz de León;Juan Antonio Blázquez;5. Contacto de América;2. Enviar regalos, comestibles, encargos, mercancia o dinero
Domingo del Moral y Beristain;Juan Antonio Blázquez;4. Familia;3. Enviar a una persona de confianza para que le atienda
Domingo del Moral y Beristain;Juan Antonio Blázquez;4. Familia;4. Encargarse de liquidar sus bienes que dejó en América
Domingo del Moral y Beristain;Juan Antonio Blázquez;4. Familia;5. Encargarse de gestionar sus negocios en América
fray Bartolomé Valentín;Juan Antonio Blázquez;5. Contacto de América;6. Realizar una misa
José Díaz de Guitian;Domingo del Moral y Beristain;1. Contacto comercial;7. Transportar mercancia, dinero, regalos o comestibles a España
Francisco Velad;Domingo del Moral y Beristain;1. Contacto comercial;7. Transportar mercancia, dinero, regalos o comestibles a España
Francisco Velad;Joaquín del Moral y Beristain;1. Contacto comercial;7. Transportar mercancia, dinero, regalos o comestibles a España
Francisco Velad;Juan del Moral y Beristain;1. Contacto comercial;7. Transportar mercancia, dinero, regalos o comestibles a España
Francisco Maldonado;José Ruiz de León;5. Contacto de América;7. Transportar mercancia, dinero, regalos o comestibles a España
Lorenzo Careu;Domingo del Moral y Beristain;1. Contacto comercial;7. Transportar mercancia, dinero, regalos o comestibles a España
Perdro Sáez de Santa María;Isidro Marín Bullón;6. Vecino de Veracruz;7. Transportar mercancia, dinero, regalos o comestibles a España
Gaspar Sáez Rico;Isidro Marín Bullón;6. Vecino de Veracruz;7. Transportar mercancia, dinero, regalos o comestibles a España
Domingo del Moral y Beristain;Juan Antonio Blázquez;4. Familia;8. Pagar dinero a individuos por sus servicios
José Díaz de Guitian;Juan Antonio Blázquez;1. Contacto comercial;9. Transportar mercancia, dinero, regalos o comestibles a América
Nicolás Fernández del Castillo;Juan Antonio Blázquez;1. Contacto comercial;9. Transportar mercancia, dinero, regalos o comestibles a América
Sánchez y Cueto;Juan Antonio Blázquez;1. Contacto comercial;9. Transportar mercancia, dinero, regalos o comestibles a América
Lorenzo Careu;Juan Antonio Blázquez;1. Contacto comercial;9. Transportar mercancia, dinero, regalos o comestibles a América
Domingo del Moral y Beristain;Juan Antonio Blázquez;4. Familia;10. Consejos acerca del casamiento de María Justa
Andrés del Moral y Beristain;Juan Antonio Blázquez;4. Familia;10. Consejos acerca del casamiento de María Justa
Andrés del Moral y Beristain;Isidro Marín Bullón;4. Familia;11. Ofrecer hospedaje 
Domingo del Moral y Beristain;Isidro Marín Bullón;4. Familia;11. Ofrecer hospedaje 
Jerónimo Díaz;Juan Antonio Blázquez;5. Contacto de América;11. Ofrecer hospedaje 
Isidro Marín Bullón;Juan Antonio Blázquez;4. Familia;12. Realizar gestiones para que el matrimonio de María Justa y Matías Jacinto Marín Bullón consigan el título de nobleza
Domingo del Moral y Beristain;Juan Antonio Blázquez;4. Familia;13. Compartir novedades sobre amigos, conocidos y familiares
Joaquín del Moral y Beristain;Juan Antonio Blázquez;4. Familia;13. Compartir novedades sobre amigos, conocidos y familiares
Andrés del Moral y Beristain;Juan Antonio Blázquez;4. Familia;13. Compartir novedades sobre amigos, conocidos y familiares
Juan del Moral y Beristain;Juan Antonio Blázquez;4. Familia;13. Compartir novedades sobre amigos, conocidos y familiares
Juan Antonio Blázquez;Juan del Moral y Beristain;4. Familia;14. Realizar gestiones y actividades de mediación para la consecución de la licencia necesaria para la fundación del convento del Carmen
Juan Valentín de Villanueva;Domingo del Moral y Beristain;2. Conocido;14. Realizar gestiones y actividades de mediación para la consecución de la licencia necesaria para la fundación del convento del Carmen
Juan Antonio Blázquez;Domingo del Moral y Beristain;4. Familia;14. Realizar gestiones y actividades de mediación para la consecución de la licencia necesaria para la fundación del convento del Carmen
Juan Antonio Torremocha Granhero;Domingo del Moral y Beristain;2. Conocido;15. Realizar diligencias de asuntos correspondientes a su ascendencia 
